group_type,group_value,run_count,unique_sequences,dominant_sequence,dominant_sequence_count,dominant_sequence_share,avg_collapsed_len,median_collapsed_len,sequence_entropy,success_share
agent,claude_code,357,153,message > write_file > execute_probe > generated_code,53,0.1484593837535014,7.677871148459384,5.0,5.725942003284419,0.9019607843137255
agent,claudecode-opus47,921,55,message:error > finish:error,248,0.2692725298588491,2.791530944625407,2.0,3.1525503017319343,0.02857142857142857
agent,codex,749,521,message > inspect_workspace > execute_probe > read_file > message > generated_code,31,0.04138851802403204,12.759679572763686,9.0,8.468071375885286,0.9073033707865169
agent,codex-gpt54,921,242,message:error,182,0.1976112920738328,3.3300760043431055,3.0,5.546075234266274,0.15570175438596492
agent,openhands,357,3,message > generated_code:error > message > generated_code:error,161,0.45098039215686275,3.3333333333333335,4.0,1.5237480655876263,0.3848396501457726
agent,openhands-gpt54,921,475,message,128,0.13897937024972856,7.352877307274701,6.0,7.393646351196754,0.06387665198237885
agent_language,claude_code::c,93,46,message > error > execute_probe > read_file > generated_code:error,19,0.20430107526881722,9.096774193548388,5.0,4.542523278908686,0.8709677419354839
agent_language,claude_code::cpp,63,42,message > write_file > execute_probe > generated_code,11,0.1746031746031746,10.095238095238095,7.0,4.878629014551655,0.9523809523809523
agent_language,claude_code::go,57,32,message > write_file > execute_probe > read_file > generated_code,11,0.19298245614035087,7.0,5.0,4.4019510175097025,0.8947368421052632
agent_language,claude_code::javascript,69,34,message > write_file > execute_probe > generated_code,11,0.15942028985507245,6.246376811594203,5.0,4.52425093889628,0.855072463768116
agent_language,claude_code::python,75,29,message > write_file > execute_probe > generated_code,10,0.13333333333333333,5.72,5.0,4.2893793994661795,0.9466666666666667
agent_language,claudecode-opus47::cpp,307,38,message > finish,71,0.23127035830618892,2.973941368078176,3.0,3.444040025570338,0.01639344262295082
agent_language,claudecode-opus47::javascript,307,25,message:error > finish:error,80,0.26058631921824105,2.732899022801303,3.0,2.8743749384051545,0.019933554817275746
agent_language,claudecode-opus47::python,307,26,message:error > finish:error,109,0.3550488599348534,2.6677524429967425,2.0,2.7769405178688653,0.049342105263157895
agent_language,codex-gpt54::cpp,307,109,message,73,0.23778501628664495,3.254071661237785,3.0,5.065753329621486,0.08852459016393442
agent_language,codex-gpt54::javascript,307,110,message:error,72,0.23452768729641693,3.3843648208469057,3.0,5.081215540559454,0.1353135313531353
agent_language,codex-gpt54::python,307,105,message,57,0.18566775244299674,3.3517915309446256,3.0,5.152093584593251,0.24342105263157895
agent_language,codex::c,93,60,message > inspect_workspace > execute_probe > read_file > message > generated_code,10,0.10752688172043011,7.473118279569892,7.0,5.491846010933218,0.8924731182795699
agent_language,codex::cpp,63,45,message > inspect_workspace > execute_probe > read_file > message > generated_code,7,0.1111111111111111,7.761904761904762,7.0,5.228688503520073,0.9365079365079365
agent_language,codex::go,141,109,message > inspect_workspace > execute_probe > read_file > message > generated_code,9,0.06382978723404255,11.49645390070922,10.0,6.5451291004262755,0.9298245614035088
agent_language,codex::javascript,181,142,message > inspect_workspace > execute_probe > error > message > generated_code:error,11,0.06077348066298342,14.701657458563536,11.0,6.891956846994545,0.927536231884058
agent_language,codex::php,28,28,message,1,0.03571428571428571,25.392857142857142,26.5,4.807354922057605,
agent_language,codex::python,187,145,message > inspect_workspace > error > execute_probe > read_file > message > generated_code,10,0.053475935828877004,12.074866310160427,10.0,6.904578235617826,0.8648648648648649
agent_language,codex::ruby,28,27,message > inspect_workspace > message > generated_code,2,0.07142857142857142,26.928571428571427,28.5,4.735926350629033,
agent_language,codex::rust,28,27,message > inspect_workspace > write_file > error > execute_probe > error > inspect_workspace > error > message:error > generated_code:error,2,0.07142857142857142,13.142857142857142,10.0,4.735926350629033,
agent_language,openhands-gpt54::cpp,307,190,message,51,0.16612377850162866,8.31270358306189,6.0,6.568553379835501,0.04966887417218543
agent_language,openhands-gpt54::javascript,307,173,message,41,0.13355048859934854,7.3322475570032575,6.0,6.409745390295434,0.046357615894039736
agent_language,openhands-gpt54::python,307,169,message,36,0.11726384364820847,6.413680781758957,6.0,6.424394645606437,0.09539473684210527
agent_language,openhands::c,93,3,message > generated_code:error > message > generated_code:error,57,0.6129032258064516,3.3333333333333335,4.0,1.187928091712115,0.17204301075268819
agent_language,openhands::cpp,63,3,message > generated_code:error > message > generated_code:error,37,0.5873015873015873,3.3333333333333335,4.0,1.2693738777687749,0.20634920634920634
agent_language,openhands::go,57,3,message > generated_code:error > message > generated_code,22,0.38596491228070173,3.3333333333333335,4.0,1.5729230252972213,0.47368421052631576
agent_language,openhands::javascript,69,3,message > generated_code:error > message > generated_code:error,25,0.36231884057971014,3.3333333333333335,4.0,1.5813216218211634,0.5507246376811594
agent_language,openhands::python,75,3,message > generated_code:error > message > generated_code:error,26,0.3466666666666667,3.3333333333333335,4.0,1.5841928580512907,0.6229508196721312
benchmark,baxbench,392,348,message > inspect_workspace,10,0.025510204081632654,17.278061224489797,15.0,8.265301969342941,
benchmark,cweval,1071,330,message > generated_code:error > message > generated_code:error,161,0.1503267973856209,6.26984126984127,5.0,6.201548269422664,0.7357954545454546
benchmark,dualgauge,2763,770,message,309,0.11183496199782844,4.4914947520810715,3.0,6.757304259564812,0.08278388278388278
benchmark_agent,baxbench::codex,392,348,message > inspect_workspace,10,0.025510204081632654,17.278061224489797,15.0,8.265301969342941,
benchmark_agent,cweval::claude_code,357,153,message > write_file > execute_probe > generated_code,53,0.1484593837535014,7.677871148459384,5.0,5.725942003284419,0.9019607843137255
